15,112210650,1,1,29/11/2012 09:06:57,FFFF
16,112210650,1,2,29/11/2012 09:07:31,FFFF
17,112210650,1,3,29/11/2012 09:09:26,....
18,112210650,1,4,29/11/2012 09:09:57,....
19,112210650,1,5,29/11/2012 09:10:11,....
20,112210650,2,1,29/11/2012 09:12:28,F
21,112210650,2,2,29/11/2012 09:14:31,F
22,112210650,3,1,29/11/2012 09:21:53,S
23,112210650,3,2,29/11/2012 09:23:07,S
24,112210650,3,3,29/11/2012 09:26:37,S
25,112210790,1,1,29/11/2012 09:30:20,....
27,112210425,1,1,29/11/2012 09:32:35,....
28,112210437,1,1,29/11/2012 09:35:33,....
29,112210650,5,1,29/11/2012 09:37:36,...F
30,112210041,1,1,29/11/2012 09:42:47,F...
31,112210437,2,1,29/11/2012 09:44:19,E
32,112210425,2,1,29/11/2012 09:44:21,E
33,112210789,1,1,29/11/2012 09:44:22,..F.
34,112210790,2,1,29/11/2012 09:44:52,F
35,112210920,1,1,29/11/2012 09:44:56,....
36,112210953,1,1,29/11/2012 09:45:12,....
37,112210079,1,1,29/11/2012 09:45:15,....
38,112210094,1,1,29/11/2012 09:45:42,.F..
39,112210086,3,1,29/11/2012 09:46:18,S
40,112210046,1,1,29/11/2012 09:46:25,....
41,112210650,2,3,29/11/2012 09:48:50,F
42,112210437,3,1,29/11/2012 09:48:52,f
43,112210789,5,1,29/11/2012 09:49:09,.FF.
44,112210650,2,4,29/11/2012 09:49:09,F
45,112210650,2,5,29/11/2012 09:49:46,F
46,112210464,1,1,29/11/2012 09:49:55,....
47,112210095,1,1,29/11/2012 09:50:04,....
48,112210425,3,1,29/11/2012 09:50:44,f
49,112210425,3,2,29/11/2012 09:50:47,f
50,112210789,2,1,29/11/2012 09:51:33,F
51,112210790,3,1,29/11/2012 09:51:37,S
52,112210056,1,1,29/11/2012 09:51:57,....
53,112210041,2,1,29/11/2012 09:52:02,E
55,112210041,3,1,29/11/2012 09:54:14,f
56,112210790,5,1,29/11/2012 09:54:36,...F
58,112210103,1,1,29/11/2012 09:55:29,....
59,112210920,3,1,29/11/2012 09:55:33,S
61,112210095,5,1,29/11/2012 09:56:10,F..F
62,112210789,3,1,29/11/2012 09:56:24,S
65,112210666,1,1,29/11/2012 09:56:48,....
66,112210103,1,2,29/11/2012 09:56:56,....
67,112210672,1,1,29/11/2012 09:57:02,....
68,112210666,1,2,29/11/2012 09:57:06,....
69,112210041,5,1,29/11/2012 09:57:18,.F.F
70,112210041,5,2,29/11/2012 09:57:47,.F.F
72,112210953,5,1,29/11/2012 09:58:07,....
73,112210672,1,2,29/11/2012 09:58:20,....
74,112210672,1,3,29/11/2012 09:58:53,....
75,112210789,1,2,29/11/2012 09:59:26,....
76,112210437,5,1,29/11/2012 09:59:28,...F
77,112210041,2,2,29/11/2012 09:59:42,E
78,112210086,2,1,29/11/2012 09:59:48,E
79,112210425,5,1,29/11/2012 10:00:03,..FF
80,112210086,5,1,29/11/2012 10:01:00,...F
81,112210086,5,2,29/11/2012 10:01:06,...F
82,112210790,2,2,29/11/2012 10:01:30,E
83,112210790,2,3,29/11/2012 10:01:56,E
84,112210094,2,1,29/11/2012 10:02:28,E
85,112210056,2,1,29/11/2012 10:03:30,F
86,112210666,2,1,29/11/2012 10:04:04,F
88,112210045,1,1,29/11/2012 19:49:17,....
89,112210046,2,1,29/11/2012 21:58:35,E
90,112210046,2,2,29/11/2012 22:07:14,E
92,112210660,1,1,29/11/2012 22:23:05,....
93,112210791,1,1,29/11/2012 22:43:45,....
94,112210791,1,2,29/11/2012 22:45:14,FFFF
95,112210089,5,1,29/11/2012 22:54:34,..FF
96,112210660,2,1,29/11/2012 23:28:00,E
97,112210660,3,1,29/11/2012 23:45:16,f
98,112210660,5,1,30/11/2012 08:53:49,....
100,112210108,1,1,30/11/2012 09:02:23,....
101,112210108,2,1,30/11/2012 09:11:55,E
102,112210108,3,1,30/11/2012 09:14:10,f
103,112210453,1,1,30/11/2012 09:16:40,....
104,112210472,1,1,30/11/2012 09:16:45,....
105,112210788,1,1,30/11/2012 09:16:57,....
107,112210472,2,1,30/11/2012 09:19:41,.
108,112210060,1,1,30/11/2012 09:20:04,....
109,112210108,2,2,30/11/2012 09:20:05,E
110,112210054,1,1,30/11/2012 09:21:41,....
111,112210054,1,2,30/11/2012 09:22:24,....
112,112210108,5,1,30/11/2012 09:23:15,F..F
113,112210078,1,1,30/11/2012 09:24:48,....
114,112210096,1,1,30/11/2012 09:25:18,....
115,112210660,2,2,30/11/2012 09:27:32,E
116,112210060,2,1,30/11/2012 09:28:16,E
117,112210788,2,1,30/11/2012 09:28:16,E
118,112210096,2,1,30/11/2012 09:29:07,E
119,112210667,1,1,30/11/2012 09:29:27,....
120,112210054,2,1,30/11/2012 09:30:16,E
121,112210065,2,1,30/11/2012 09:31:31,.
122,112210480,2,1,30/11/2012 09:31:32,.
123,112210078,2,1,30/11/2012 09:31:45,E
124,112210078,2,2,30/11/2012 09:31:45,E
125,112210867,1,1,30/11/2012 09:33:49,....
126,112210472,3,1,30/11/2012 09:34:11,N
127,112210480,3,1,30/11/2012 09:35:43,f
128,112210078,3,1,30/11/2012 09:36:52,f
129,112210065,3,1,30/11/2012 09:37:00,f
